unix,date,symbol,open,high,low,close,Volume XRP,Volume RLUSD
1749459600,2025-06-09 09:00:00,XRP/RLUSD,2.23250,2.23250,2.23250,2.23250,0.00,0.0
1749456000,2025-06-09 08:00:00,XRP/RLUSD,2.23250,2.23250,2.23250,2.23250,0.00,0.0
1749452400,2025-06-09 07:00:00,XRP/RLUSD,2.23250,2.23250,2.23250,2.23250,0.00,0.0
1749448800,2025-06-09 06:00:00,XRP/RLUSD,2.23005,2.23250,2.22565,2.23250,173358.94,387023.83355
1749445200,2025-06-09 05:00:00,XRP/RLUSD,2.23768,2.23768,2.23174,2.23174,1050.10,2343.5501739999995
1749441600,2025-06-09 04:00:00,XRP/RLUSD,2.24864,2.24864,2.24864,2.24864,0.00,0.0
1749438000,2025-06-09 03:00:00,XRP/RLUSD,2.24864,2.24864,2.24864,2.24864,0.00,0.0
1749434400,2025-06-09 02:00:00,XRP/RLUSD,2.24864,2.24864,2.24864,2.24864,498.10,1120.0475840000001
1749430800,2025-06-09 01:00:00,XRP/RLUSD,2.26149,2.26149,2.26149,2.26149,0.00,0.0
1749427200,2025-06-09 00:00:00,XRP/RLUSD,2.26149,2.26149,2.26149,2.26149,0.00,0.0
1749423600,2025-06-08 23:00:00,XRP/RLUSD,2.26180,2.26213,2.26138,2.26149,4964.32,11226.760036799998
1749420000,2025-06-08 22:00:00,XRP/RLUSD,2.27104,2.27104,2.26238,2.26238,53.35,120.69797299999999
1749416400,2025-06-08 21:00:00,XRP/RLUSD,2.27959,2.27959,2.27949,2.27949,8022.79,18287.8695771
1749412800,2025-06-08 20:00:00,XRP/RLUSD,2.28681,2.28681,2.28681,2.28681,0.00,0.0
1749409200,2025-06-08 19:00:00,XRP/RLUSD,2.28681,2.28681,2.28681,2.28681,26.42,60.417520200000006
1749405600,2025-06-08 18:00:00,XRP/RLUSD,2.28619,2.28619,2.28573,2.28573,52.89,120.8922597
1749402000,2025-06-08 17:00:00,XRP/RLUSD,2.27568,2.27568,2.27568,2.27568,0.00,0.0
1749398400,2025-06-08 16:00:00,XRP/RLUSD,2.27568,2.27568,2.27568,2.27568,20.08,45.695654399999995
1749394800,2025-06-08 15:00:00,XRP/RLUSD,2.28617,2.28617,2.28617,2.28617,455.12,1040.4816904
1749391200,2025-06-08 14:00:00,XRP/RLUSD,2.26939,2.26939,2.26369,2.26369,11737.28,26569.563363200003
1749387600,2025-06-08 13:00:00,XRP/RLUSD,2.28702,2.28702,2.27322,2.27322,2002.60,4552.350371999999
1749384000,2025-06-08 12:00:00,XRP/RLUSD,2.26018,2.26018,2.25506,2.25543,5392.80,12163.082904
1749380400,2025-06-08 11:00:00,XRP/RLUSD,2.23823,2.24593,2.23823,2.24593,6708.85,15067.6074805
1749376800,2025-06-08 10:00:00,XRP/RLUSD,2.20978,2.20978,2.20978,2.20978,0.00,0.0
1749373200,2025-06-08 09:00:00,XRP/RLUSD,2.21006,2.21006,2.20978,2.20978,4197.28,9275.065398399998
1749369600,2025-06-08 08:00:00,XRP/RLUSD,2.21203,2.21203,2.21203,2.21203,394.24,872.0707072
1749366000,2025-06-08 07:00:00,XRP/RLUSD,2.21570,2.21570,2.21570,2.21570,463.36,1026.666752
1749362400,2025-06-08 06:00:00,XRP/RLUSD,2.20878,2.20878,2.20878,2.20878,497.22,1098.2495916
1749358800,2025-06-08 05:00:00,XRP/RLUSD,2.18033,2.18033,2.18033,2.18033,0.00,0.0
1749355200,2025-06-08 04:00:00,XRP/RLUSD,2.18033,2.18033,2.18033,2.18033,0.00,0.0
1749351600,2025-06-08 03:00:00,XRP/RLUSD,2.18033,2.18033,2.18033,2.18033,0.00,0.0
1749348000,2025-06-08 02:00:00,XRP/RLUSD,2.18033,2.18033,2.18033,2.18033,0.00,0.0
1749344400,2025-06-08 01:00:00,XRP/RLUSD,2.18033,2.18033,2.18033,2.18033,0.00,0.0
1749340800,2025-06-08 00:00:00,XRP/RLUSD,2.18033,2.18033,2.18033,2.18033,0.00,0.0
1749337200,2025-06-07 23:00:00,XRP/RLUSD,2.18033,2.18033,2.18033,2.18033,210.83,459.6789739000001
1749333600,2025-06-07 22:00:00,XRP/RLUSD,2.18371,2.18586,2.18371,2.18586,1628.56,3559.8041615999996
1749330000,2025-06-07 21:00:00,XRP/RLUSD,2.18118,2.18118,2.18118,2.18118,910.88,1986.7932383999998
1749326400,2025-06-07 20:00:00,XRP/RLUSD,2.18378,2.18378,2.18378,2.18378,0.00,0.0
1749322800,2025-06-07 19:00:00,XRP/RLUSD,2.18378,2.18378,2.18378,2.18378,0.00,0.0
1749319200,2025-06-07 18:00:00,XRP/RLUSD,2.18378,2.18378,2.18378,2.18378,0.00,0.0
1749315600,2025-06-07 17:00:00,XRP/RLUSD,2.18378,2.18378,2.18378,2.18378,0.00,0.0
1749312000,2025-06-07 16:00:00,XRP/RLUSD,2.18586,2.18586,2.18378,2.18378,39138.21,85469.2402338
1749308400,2025-06-07 15:00:00,XRP/RLUSD,2.18998,2.18998,2.18998,2.18998,0.00,0.0
1749304800,2025-06-07 14:00:00,XRP/RLUSD,2.18998,2.18998,2.18998,2.18998,0.00,0.0
1749301200,2025-06-07 13:00:00,XRP/RLUSD,2.18998,2.18998,2.18998,2.18998,0.00,0.0
