unix,date,symbol,open,high,low,close,Volume ADA,Volume USD
1749474000,2025-06-09 13:00:00,ADA/USD,0.67410,0.67416,0.66652,0.66652,74440.18973734,49615.875263731854
1749470400,2025-06-09 12:00:00,ADA/USD,0.67605,0.67605,0.67178,0.67472,69934.68681072,47186.33188492899
1749466800,2025-06-09 11:00:00,ADA/USD,0.67588,0.67717,0.67314,0.67557,106590.14707512,72009.10565953882
1749463200,2025-06-09 10:00:00,ADA/USD,0.67004,0.67749,0.67004,0.67600,99274.11117029,67109.29915111604
1749459600,2025-06-09 09:00:00,ADA/USD,0.66358,0.67087,0.66225,0.66968,68910.49754634,46147.981996832976
1749456000,2025-06-09 08:00:00,ADA/USD,0.66263,0.66403,0.66149,0.66382,59506.25921750,39501.44499376085
1749452400,2025-06-09 07:00:00,ADA/USD,0.66383,0.66405,0.66178,0.66283,89269.28313546,59170.35894067696
1749448800,2025-06-09 06:00:00,ADA/USD,0.65780,0.66370,0.65712,0.66370,43295.23210664,28735.045549176968
1749445200,2025-06-09 05:00:00,ADA/USD,0.65842,0.66083,0.65842,0.65872,94101.05403994,61986.246317189274
1749441600,2025-06-09 04:00:00,ADA/USD,0.66291,0.66356,0.65971,0.66007,24738.12868011,16328.896597880208
1749438000,2025-06-09 03:00:00,ADA/USD,0.66335,0.66452,0.66213,0.66452,11786.02336182,7832.048244396627
1749434400,2025-06-09 02:00:00,ADA/USD,0.66437,0.66765,0.66381,0.66574,31947.42319928,21268.677520688667
1749430800,2025-06-09 01:00:00,ADA/USD,0.66795,0.66820,0.66496,0.66496,33384.54706568,22199.388416794573
1749427200,2025-06-09 00:00:00,ADA/USD,0.67182,0.67210,0.66741,0.66868,76033.48618346,50842.07154115604
1749423600,2025-06-08 23:00:00,ADA/USD,0.67005,0.67006,0.66802,0.66937,46110.67312584,30865.101270243526
1749420000,2025-06-08 22:00:00,ADA/USD,0.67471,0.67471,0.66886,0.67005,102000.02145518,68345.11437604336
1749416400,2025-06-08 21:00:00,ADA/USD,0.67786,0.67920,0.67522,0.67755,70540.29488138,47794.57679687902
1749412800,2025-06-08 20:00:00,ADA/USD,0.67490,0.67858,0.67485,0.67522,111398.92083042,75218.77932311619
1749409200,2025-06-08 19:00:00,ADA/USD,0.67486,0.67798,0.67347,0.67421,69424.56522662,46806.73612143947
1749405600,2025-06-08 18:00:00,ADA/USD,0.67103,0.67464,0.67092,0.67412,32749.63042940,22077.18086506713
1749402000,2025-06-08 17:00:00,ADA/USD,0.67475,0.67480,0.67079,0.67126,14371.48600051,9647.003692702343
1749398400,2025-06-08 16:00:00,ADA/USD,0.67134,0.67379,0.67124,0.67341,99285.01434657,66859.52151112369
1749394800,2025-06-08 15:00:00,ADA/USD,0.66988,0.67280,0.66988,0.66995,44402.17884121,29747.23971466864
1749391200,2025-06-08 14:00:00,ADA/USD,0.66871,0.67022,0.66539,0.66873,95730.61979369,64017.93737463432
1749387600,2025-06-08 13:00:00,ADA/USD,0.66701,0.67887,0.66607,0.66965,176170.35580989,117972.47876809283
1749384000,2025-06-08 12:00:00,ADA/USD,0.66680,0.66897,0.66381,0.66635,77998.05518093,51974.004069812705
1749380400,2025-06-08 11:00:00,ADA/USD,0.65780,0.66511,0.65780,0.66402,124680.07650561,82790.06440125516
