unix,date,symbol,open,high,low,close,Volume MATIC,Volume EUR
1683270000,2023-05-05 07:00:00,MATIC/EUR,0.89714,0.89714,0.89400,0.89647,470.40570571,421.7046029978437
1683266400,2023-05-05 06:00:00,MATIC/EUR,0.89476,0.89476,0.89476,0.89476,0.00000000,0.0
1683262800,2023-05-05 05:00:00,MATIC/EUR,0.89573,0.89573,0.89238,0.89476,1438.37594410,1287.0012597429159
1683259200,2023-05-05 04:00:00,MATIC/EUR,0.89665,0.89665,0.89665,0.89665,0.00000000,0.0
1683255600,2023-05-05 03:00:00,MATIC/EUR,0.89665,0.89665,0.89665,0.89665,0.00000000,0.0
1683252000,2023-05-05 02:00:00,MATIC/EUR,0.89665,0.89665,0.89665,0.89665,151.31337317,135.6751360528805
1683248400,2023-05-05 01:00:00,MATIC/EUR,0.89187,0.89901,0.89187,0.89844,36365.79956234,32672.48895878875
1683244800,2023-05-05 00:00:00,MATIC/EUR,0.88930,0.88930,0.88930,0.88930,0.00000000,0.0
1683241200,2023-05-04 23:00:00,MATIC/EUR,0.88930,0.88930,0.88930,0.88930,0.00000000,0.0
1683237600,2023-05-04 22:00:00,MATIC/EUR,0.89131,0.89131,0.88930,0.88930,276.38220452,245.786694479636
1683234000,2023-05-04 21:00:00,MATIC/EUR,0.89377,0.89377,0.89377,0.89377,559.42804077,499.9999999990029
1683230400,2023-05-04 20:00:00,MATIC/EUR,0.89336,0.89336,0.89336,0.89336,0.00000000,0.0
1683226800,2023-05-04 19:00:00,MATIC/EUR,0.88862,0.89404,0.88862,0.89336,6591.35139549,5888.449682674946
1683223200,2023-05-04 18:00:00,MATIC/EUR,0.89340,0.89340,0.89030,0.89030,193.12421024,171.938484376672
1683219600,2023-05-04 17:00:00,MATIC/EUR,0.89194,0.89604,0.89131,0.89131,7852.41614120,6998.937030812973
1683216000,2023-05-04 16:00:00,MATIC/EUR,0.89312,0.89674,0.89312,0.89442,9501.05438501,8497.933063040644
1683212400,2023-05-04 15:00:00,MATIC/EUR,0.89720,0.89720,0.89400,0.89400,296.54982229,265.11554112726003
1683208800,2023-05-04 14:00:00,MATIC/EUR,0.89400,0.89660,0.89400,0.89621,147.57446045,132.2577071998945
1683205200,2023-05-04 13:00:00,MATIC/EUR,0.89455,0.89455,0.89455,0.89455,25.00000000,22.36375
1683201600,2023-05-04 12:00:00,MATIC/EUR,0.90099,0.90099,0.90099,0.90099,45.17276644,40.700210834775596
1683198000,2023-05-04 11:00:00,MATIC/EUR,0.90278,0.90278,0.90278,0.90278,52.81462409,47.679986335970206
1683194400,2023-05-04 10:00:00,MATIC/EUR,0.90250,0.90250,0.90250,0.90250,0.00000000,0.0
1683190800,2023-05-04 09:00:00,MATIC/EUR,0.90406,0.90406,0.90182,0.90250,4121.65585055,3719.7944051213744
1683187200,2023-05-04 08:00:00,MATIC/EUR,0.90050,0.90300,0.90050,0.90300,8615.59765464,7779.88468213992
1683183600,2023-05-04 07:00:00,MATIC/EUR,0.89918,0.89990,0.89918,0.89990,2916.93726042,2624.951840651958
1683180000,2023-05-04 06:00:00,MATIC/EUR,0.90000,0.90012,0.89916,0.89916,1258.91184526,1131.9631747839817
1683176400,2023-05-04 05:00:00,MATIC/EUR,0.90228,0.90302,0.90228,0.90302,166.15468895,150.041007215629
1683172800,2023-05-04 04:00:00,MATIC/EUR,0.90123,0.90123,0.90123,0.90123,102.48118863,92.35912162901491
1683169200,2023-05-04 03:00:00,MATIC/EUR,0.90344,0.90410,0.90344,0.90410,767.19444580,693.62049844778
1683165600,2023-05-04 02:00:00,MATIC/EUR,0.91203,0.91203,0.91203,0.91203,0.00000000,0.0
1683162000,2023-05-04 01:00:00,MATIC/EUR,0.91203,0.91203,0.91203,0.91203,0.00000000,0.0
1683158400,2023-05-04 00:00:00,MATIC/EUR,0.91203,0.91203,0.91203,0.91203,0.00000000,0.0
1683154800,2023-05-03 23:00:00,MATIC/EUR,0.91352,0.91352,0.91203,0.91203,10228.59002105,9328.780956898232
1683151200,2023-05-03 22:00:00,MATIC/EUR,0.91500,0.91777,0.91500,0.91634,6409.08910087,5872.904706691216
1683147600,2023-05-03 21:00:00,MATIC/EUR,0.90750,0.91074,0.90750,0.91044,2597.49993109,2364.8678372615796
1683144000,2023-05-03 20:00:00,MATIC/EUR,0.89828,0.89835,0.89770,0.89835,1197.84763306,1076.086421159451
1683140400,2023-05-03 19:00:00,MATIC/EUR,0.89879,0.90102,0.89682,0.89682,498.87131506,447.39777277210914
1683136800,2023-05-03 18:00:00,MATIC/EUR,0.89781,0.90378,0.89781,0.90190,1281.16324201,1155.481127968819
1683133200,2023-05-03 17:00:00,MATIC/EUR,0.89417,0.89584,0.89116,0.89584,1175.22486741,1052.8134452205743
1683129600,2023-05-03 16:00:00,MATIC/EUR,0.88945,0.89436,0.88945,0.89436,584.19124713,522.4772837831867
1683126000,2023-05-03 15:00:00,MATIC/EUR,0.88510,0.88728,0.88341,0.88728,858.25017296,761.5082134639488
1683122400,2023-05-03 14:00:00,MATIC/EUR,0.88663,0.88768,0.88436,0.88488,6683.93464513,5914.480088782634
1683118800,2023-05-03 13:00:00,MATIC/EUR,0.88188,0.89174,0.88188,0.89174,222.26965363,198.2067409280162
1683115200,2023-05-03 12:00:00,MATIC/EUR,0.89093,0.89093,0.88145,0.88145,4628.83928697,4080.0903894997064
1683111600,2023-05-03 11:00:00,MATIC/EUR,0.89776,0.89782,0.89033,0.89033,4779.38043912,4255.22578636171
1683108000,2023-05-03 10:00:00,MATIC/EUR,0.89379,0.89750,0.89379,0.89750,8798.78857896,7896.9127496166
1683104400,2023-05-03 09:00:00,MATIC/EUR,0.89116,0.89290,0.89043,0.89290,374.27539606,334.190501141974
1683100800,2023-05-03 08:00:00,MATIC/EUR,0.88561,0.89118,0.88561,0.89118,415.89226754,370.6348709862972
1683097200,2023-05-03 07:00:00,MATIC/EUR,0.88125,0.88410,0.88081,0.88410,1337.43209414,1182.423714429174
1683093600,2023-05-03 06:00:00,MATIC/EUR,0.88089,0.88302,0.88089,0.88302,5493.93138704,4851.251293384061
1683090000,2023-05-03 05:00:00,MATIC/EUR,0.88105,0.88105,0.88105,0.88105,22.70018727,19.9999999942335
1683086400,2023-05-03 04:00:00,MATIC/EUR,0.88138,0.88138,0.88138,0.88138,12.00000000,10.57656
1683082800,2023-05-03 03:00:00,MATIC/EUR,0.87835,0.87835,0.87835,0.87835,0.00000000,0.0
1683079200,2023-05-03 02:00:00,MATIC/EUR,0.87507,0.87835,0.87507,0.87835,679.75736915,597.0648851929025
1683075600,2023-05-03 01:00:00,MATIC/EUR,0.87850,0.87850,0.87850,0.87850,0.00000000,0.0
1683072000,2023-05-03 00:00:00,MATIC/EUR,0.87850,0.87850,0.87850,0.87850,2265.22481503,1990.0000000038551
1683068400,2023-05-02 23:00:00,MATIC/EUR,0.88749,0.88749,0.88749,0.88749,695.81615567,617.5298799955682
1683064800,2023-05-02 22:00:00,MATIC/EUR,0.88942,0.88942,0.88942,0.88942,12.00000000,10.67304
1683061200,2023-05-02 21:00:00,MATIC/EUR,0.88593,0.88593,0.88353,0.88353,530.39461185,468.61955140783056
1683057600,2023-05-02 20:00:00,MATIC/EUR,0.88284,0.88284,0.88183,0.88183,862.38004445,760.4725945973435
1683054000,2023-05-02 19:00:00,MATIC/EUR,0.88560,0.88600,0.88560,0.88600,162.46792415,143.94658079689998
1683050400,2023-05-02 18:00:00,MATIC/EUR,0.88001,0.88419,0.87846,0.88419,1231.30175766,1088.7047011053955
1683046800,2023-05-02 17:00:00,MATIC/EUR,0.87773,0.87789,0.87773,0.87789,77.96606290,68.445626959281
1683043200,2023-05-02 16:00:00,MATIC/EUR,0.87803,0.87807,0.87641,0.87641,1107.94602971,971.0149798981411
1683039600,2023-05-02 15:00:00,MATIC/EUR,0.87950,0.88600,0.87950,0.88516,1601.79317002,1417.843242374903
1683036000,2023-05-02 14:00:00,MATIC/EUR,0.87263,0.88514,0.86858,0.88185,25620.14295157,22593.123061842005
1683032400,2023-05-02 13:00:00,MATIC/EUR,0.87582,0.87652,0.87326,0.87326,1450.66350068,1266.8064086038169
1683028800,2023-05-02 12:00:00,MATIC/EUR,0.87393,0.87744,0.87373,0.87522,1871.04034065,1637.571926943693
1683025200,2023-05-02 11:00:00,MATIC/EUR,0.87356,0.87540,0.87316,0.87523,8668.13081802,7586.608135855644
1683021600,2023-05-02 10:00:00,MATIC/EUR,0.87568,0.87568,0.87385,0.87562,1121.37332489,981.8969107401817
1683018000,2023-05-02 09:00:00,MATIC/EUR,0.87592,0.87592,0.87412,0.87412,3334.59634509,2914.837357170071
1683014400,2023-05-02 08:00:00,MATIC/EUR,0.87710,0.87779,0.87616,0.87616,1660.57596077,1454.9302337882432
1683010800,2023-05-02 07:00:00,MATIC/EUR,0.87145,0.87371,0.87145,0.87271,3913.85054272,3415.656507137171
1683007200,2023-05-02 06:00:00,MATIC/EUR,0.87126,0.87313,0.87010,0.87100,5701.85988237,4966.31995754427
1683003600,2023-05-02 05:00:00,MATIC/EUR,0.87108,0.87138,0.87108,0.87138,147.61731886,128.6307793082268
1683000000,2023-05-02 04:00:00,MATIC/EUR,0.87339,0.87339,0.87231,0.87231,11240.88826043,9805.539238455693
1682996400,2023-05-02 03:00:00,MATIC/EUR,0.87059,0.87409,0.87036,0.87409,11463.84715409,10020.434158918528
1682992800,2023-05-02 02:00:00,MATIC/EUR,0.87091,0.87091,0.87091,0.87091,1041.11537018,906.7177870434637
1682989200,2023-05-02 01:00:00,MATIC/EUR,0.87171,0.87171,0.86984,0.86984,6280.88892422,5463.368421843525
1682985600,2023-05-02 00:00:00,MATIC/EUR,0.87283,0.87283,0.87227,0.87227,10525.14189523,9180.76552095227
1682982000,2023-05-01 23:00:00,MATIC/EUR,0.87576,0.87662,0.87534,0.87534,5708.36226760,4996.757827320985
1682978400,2023-05-01 22:00:00,MATIC/EUR,0.87754,0.87754,0.87438,0.87438,581.77459716,508.69207226476084
1682974800,2023-05-01 21:00:00,MATIC/EUR,0.87109,0.87582,0.87109,0.87277,1742.67910317,1520.958040873681
1682971200,2023-05-01 20:00:00,MATIC/EUR,0.86758,0.87221,0.86758,0.87033,12581.84204198,10950.354584396455
1682967600,2023-05-01 19:00:00,MATIC/EUR,0.86880,0.87053,0.86349,0.86760,31158.28785222,27032.930540586072
1682964000,2023-05-01 18:00:00,MATIC/EUR,0.87336,0.87336,0.86881,0.87098,567.42836767,494.21875967321654
1682960400,2023-05-01 17:00:00,MATIC/EUR,0.88377,0.88377,0.87903,0.87984,2601.23448954,2288.6701532768734
1682956800,2023-05-01 16:00:00,MATIC/EUR,0.87833,0.87848,0.87523,0.87724,5087.83359190,4463.251140158356
1682953200,2023-05-01 15:00:00,MATIC/EUR,0.88333,0.88333,0.87867,0.88025,7178.66848033,6319.022929810482
1682949600,2023-05-01 14:00:00,MATIC/EUR,0.88469,0.88473,0.88289,0.88473,2142.91737015,1895.9032848928096
1682946000,2023-05-01 13:00:00,MATIC/EUR,0.88578,0.88603,0.88518,0.88518,1666.87166267,1475.4814583622306
1682942400,2023-05-01 12:00:00,MATIC/EUR,0.88614,0.88860,0.88614,0.88761,495.22795422,439.56928444521424
1682938800,2023-05-01 11:00:00,MATIC/EUR,0.89011,0.89011,0.88794,0.88794,795.19407088,706.0846232971871
1682935200,2023-05-01 10:00:00,MATIC/EUR,0.89108,0.89174,0.88967,0.89009,643.41760958,572.6995801110622
1682931600,2023-05-01 09:00:00,MATIC/EUR,0.89348,0.89348,0.89203,0.89203,166.03180436,148.10535044325079
1682928000,2023-05-01 08:00:00,MATIC/EUR,0.89255,0.89332,0.89156,0.89324,2442.53193702,2181.7672274237448
1682924400,2023-05-01 07:00:00,MATIC/EUR,0.89537,0.89683,0.89331,0.89331,1577.86802589,1409.525286207796
1682920800,2023-05-01 06:00:00,MATIC/EUR,0.89282,0.89282,0.89282,0.89282,0.00000000,0.0
1682917200,2023-05-01 05:00:00,MATIC/EUR,0.89289,0.89289,0.89282,0.89282,1429.88506787,1276.6299862956935
1682913600,2023-05-01 04:00:00,MATIC/EUR,0.88823,0.88823,0.88823,0.88823,0.00000000,0.0
1682910000,2023-05-01 03:00:00,MATIC/EUR,0.88823,0.88823,0.88823,0.88823,2616.39369287,2323.95936981792
1682906400,2023-05-01 02:00:00,MATIC/EUR,0.88936,0.88974,0.88936,0.88974,1168.56671485,1039.7205488706388
1682902800,2023-05-01 01:00:00,MATIC/EUR,0.89000,0.89000,0.87550,0.88190,10417.99221322,9187.62733283872
1682899200,2023-05-01 00:00:00,MATIC/EUR,0.89020,0.89020,0.89020,0.89020,0.00000000,0.0
1682895600,2023-04-30 23:00:00,MATIC/EUR,0.89667,0.89815,0.89020,0.89020,16868.42071353,15016.268119184404
1682892000,2023-04-30 22:00:00,MATIC/EUR,0.89709,0.89729,0.89694,0.89694,198.63177852,178.1607874257288
1682888400,2023-04-30 21:00:00,MATIC/EUR,0.89320,0.89320,0.89320,0.89320,0.00000000,0.0
1682884800,2023-04-30 20:00:00,MATIC/EUR,0.89753,0.89753,0.88550,0.89320,17631.15081721,15748.143909931972
1682881200,2023-04-30 19:00:00,MATIC/EUR,0.90684,0.90684,0.89550,0.89873,350.07930241,314.62677145493933
1682877600,2023-04-30 18:00:00,MATIC/EUR,0.91327,0.91332,0.91161,0.91162,770.89180711,702.7603891976181
1682874000,2023-04-30 17:00:00,MATIC/EUR,0.91406,0.91723,0.91406,0.91723,163.72491325,150.17340218029747
1682870400,2023-04-30 16:00:00,MATIC/EUR,0.91809,0.91809,0.91501,0.91558,7251.23484346,6639.085597975106
1682866800,2023-04-30 15:00:00,MATIC/EUR,0.91486,0.92020,0.91266,0.91993,20928.79240484,19253.02399698446
1682863200,2023-04-30 14:00:00,MATIC/EUR,0.90685,0.90893,0.90685,0.90893,3830.55039725,3481.7021725724426
1682859600,2023-04-30 13:00:00,MATIC/EUR,0.90300,0.90312,0.90300,0.90312,55.16985819,49.8250023285528
