unix,date,symbol,open,high,low,close,Volume VEXT,Volume USD
1711710000,2024-03-29 11:00:00,VEXT/USD,0.1133,0.1155,0.1126,0.1141,28785.351,3284.4085490999996
1711706400,2024-03-29 10:00:00,VEXT/USD,0.1131,0.1131,0.1131,0.1131,0.000,0.0
1711702800,2024-03-29 09:00:00,VEXT/USD,0.1111,0.1137,0.1111,0.1131,41798.253,4727.3824143
1711699200,2024-03-29 08:00:00,VEXT/USD,0.1105,0.1110,0.1105,0.1110,4063.301,451.026411
1711695600,2024-03-29 07:00:00,VEXT/USD,0.1100,0.1105,0.1095,0.1095,4222.924,462.410178
1711692000,2024-03-29 06:00:00,VEXT/USD,0.1094,0.1094,0.1094,0.1094,55.393,6.0599942
1711688400,2024-03-29 05:00:00,VEXT/USD,0.1097,0.1097,0.1094,0.1094,2961.510,323.989194
1711684800,2024-03-29 04:00:00,VEXT/USD,0.1115,0.1115,0.1115,0.1115,0.000,0.0
1711681200,2024-03-29 03:00:00,VEXT/USD,0.1099,0.1115,0.1099,0.1115,12966.300,1445.74245
1711677600,2024-03-29 02:00:00,VEXT/USD,0.1100,0.1100,0.1100,0.1100,0.000,0.0
1711674000,2024-03-29 01:00:00,VEXT/USD,0.1096,0.1100,0.1096,0.1100,4536.596,499.0255599999999
1711670400,2024-03-29 00:00:00,VEXT/USD,0.1087,0.1087,0.1087,0.1087,0.000,0.0
1711666800,2024-03-28 23:00:00,VEXT/USD,0.1087,0.1087,0.1087,0.1087,0.000,0.0
1711663200,2024-03-28 22:00:00,VEXT/USD,0.1087,0.1087,0.1087,0.1087,0.000,0.0
1711659600,2024-03-28 21:00:00,VEXT/USD,0.1066,0.1098,0.1066,0.1087,43127.108,4687.9166396
1711656000,2024-03-28 20:00:00,VEXT/USD,0.1057,0.1063,0.1057,0.1063,5109.650,543.155795
1711652400,2024-03-28 19:00:00,VEXT/USD,0.1057,0.1057,0.1057,0.1057,1249.516,132.0738412
1711648800,2024-03-28 18:00:00,VEXT/USD,0.1047,0.1047,0.1047,0.1047,0.000,0.0
1711645200,2024-03-28 17:00:00,VEXT/USD,0.1047,0.1047,0.1047,0.1047,227.848,23.8556856
1711641600,2024-03-28 16:00:00,VEXT/USD,0.1049,0.1059,0.1049,0.1058,9389.317,993.3897386
1711638000,2024-03-28 15:00:00,VEXT/USD,0.1039,0.1057,0.1031,0.1049,7452.393,781.7560257
1711634400,2024-03-28 14:00:00,VEXT/USD,0.1030,0.1030,0.1027,0.1028,8826.000,907.3128
1711630800,2024-03-28 13:00:00,VEXT/USD,0.1038,0.1040,0.1027,0.1030,207250.000,21346.75
1711627200,2024-03-28 12:00:00,VEXT/USD,0.1035,0.1035,0.1035,0.1035,1058.464,109.55102399999998
1711623600,2024-03-28 11:00:00,VEXT/USD,0.1050,0.1050,0.1033,0.1033,8685.618,897.2243394000001
1711620000,2024-03-28 10:00:00,VEXT/USD,0.1036,0.1074,0.1036,0.1049,60232.844,6318.425335599999
1711616400,2024-03-28 09:00:00,VEXT/USD,0.1026,0.1036,0.1026,0.1035,12200.940,1262.79729
1711612800,2024-03-28 08:00:00,VEXT/USD,0.0949,0.1026,0.0949,0.1026,68631.220,7041.563172
1711609200,2024-03-28 07:00:00,VEXT/USD,0.0948,0.0948,0.0948,0.0948,2045.380,193.902024
1711605600,2024-03-28 06:00:00,VEXT/USD,0.0948,0.0948,0.0948,0.0948,400.000,37.92
1711602000,2024-03-28 05:00:00,VEXT/USD,0.0948,0.0948,0.0948,0.0948,0.000,0.0
1711598400,2024-03-28 04:00:00,VEXT/USD,0.0948,0.0948,0.0948,0.0948,1573.789,149.1951972
1711594800,2024-03-28 03:00:00,VEXT/USD,0.0942,0.0942,0.0942,0.0942,1655.200,155.91984000000002
1711591200,2024-03-28 02:00:00,VEXT/USD,0.0949,0.0949,0.0941,0.0941,2321.813,218.48260330000002
1711587600,2024-03-28 01:00:00,VEXT/USD,0.0949,0.0949,0.0949,0.0949,913.413,86.6828937
1711584000,2024-03-28 00:00:00,VEXT/USD,0.0934,0.0956,0.0934,0.0951,44471.521,4229.241647100001
1711580400,2024-03-27 23:00:00,VEXT/USD,0.0932,0.0932,0.0932,0.0932,0.000,0.0
1711576800,2024-03-27 22:00:00,VEXT/USD,0.0932,0.0932,0.0932,0.0932,0.000,0.0
1711573200,2024-03-27 21:00:00,VEXT/USD,0.0940,0.0940,0.0932,0.0932,21059.356,1962.7319792
1711569600,2024-03-27 20:00:00,VEXT/USD,0.0941,0.0941,0.0941,0.0941,254.030,23.904223
1711566000,2024-03-27 19:00:00,VEXT/USD,0.0941,0.0941,0.0941,0.0941,1058.464,99.6014624
1711562400,2024-03-27 18:00:00,VEXT/USD,0.0914,0.0947,0.0914,0.0940,95239.119,8952.477186
1711558800,2024-03-27 17:00:00,VEXT/USD,0.0913,0.0913,0.0912,0.0913,4069.398,371.53603740000005
1711555200,2024-03-27 16:00:00,VEXT/USD,0.0907,0.0916,0.0907,0.0914,86751.110,7929.0514539999995
1711551600,2024-03-27 15:00:00,VEXT/USD,0.0912,0.0912,0.0912,0.0912,0.000,0.0
1711548000,2024-03-27 14:00:00,VEXT/USD,0.0906,0.0913,0.0905,0.0912,17233.590,1571.703408
1711544400,2024-03-27 13:00:00,VEXT/USD,0.0902,0.0914,0.0902,0.0914,27551.479,2518.2051806
1711540800,2024-03-27 12:00:00,VEXT/USD,0.0902,0.0902,0.0902,0.0902,386.764,34.8861128
1711537200,2024-03-27 11:00:00,VEXT/USD,0.0901,0.0902,0.0901,0.0902,3473.956,313.3508312
1711533600,2024-03-27 10:00:00,VEXT/USD,0.0840,0.0902,0.0840,0.0902,112341.222,10133.1782244
1711530000,2024-03-27 09:00:00,VEXT/USD,0.0818,0.0833,0.0818,0.0833,37761.478,3145.5311174000003
1711526400,2024-03-27 08:00:00,VEXT/USD,0.0819,0.0819,0.0818,0.0818,263.227,21.5319686
1711522800,2024-03-27 07:00:00,VEXT/USD,0.0818,0.0818,0.0818,0.0818,0.000,0.0
1711519200,2024-03-27 06:00:00,VEXT/USD,0.0818,0.0818,0.0818,0.0818,2510.158,205.3309244
1711515600,2024-03-27 05:00:00,VEXT/USD,0.0814,0.0814,0.0814,0.0814,2192.390,178.460546
1711512000,2024-03-27 04:00:00,VEXT/USD,0.0814,0.0814,0.0814,0.0814,0.000,0.0
1711508400,2024-03-27 03:00:00,VEXT/USD,0.0814,0.0814,0.0814,0.0814,0.000,0.0
1711504800,2024-03-27 02:00:00,VEXT/USD,0.0814,0.0814,0.0814,0.0814,99.990,8.139186
1711501200,2024-03-27 01:00:00,VEXT/USD,0.0814,0.0814,0.0814,0.0814,3490.300,284.11042000000003
1711497600,2024-03-27 00:00:00,VEXT/USD,0.0815,0.0815,0.0815,0.0815,0.000,0.0
1711494000,2024-03-26 23:00:00,VEXT/USD,0.0815,0.0815,0.0815,0.0815,0.000,0.0
1711490400,2024-03-26 22:00:00,VEXT/USD,0.0820,0.0821,0.0815,0.0815,11893.000,969.2795
1711486800,2024-03-26 21:00:00,VEXT/USD,0.0819,0.0821,0.0819,0.0821,6255.809,513.6019189000001
