unix,date,symbol,open,high,low,close,Volume PYUSD,Volume USD
1733472000,2024-12-06 08:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733468400,2024-12-06 07:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733464800,2024-12-06 06:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733461200,2024-12-06 05:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733457600,2024-12-06 04:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733454000,2024-12-06 03:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733450400,2024-12-06 02:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733446800,2024-12-06 01:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733443200,2024-12-06 00:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733439600,2024-12-05 23:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733436000,2024-12-05 22:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733432400,2024-12-05 21:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733428800,2024-12-05 20:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733425200,2024-12-05 19:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733421600,2024-12-05 18:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733418000,2024-12-05 17:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733414400,2024-12-05 16:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733410800,2024-12-05 15:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733407200,2024-12-05 14:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733403600,2024-12-05 13:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733400000,2024-12-05 12:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733396400,2024-12-05 11:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733392800,2024-12-05 10:00:00,PYUSD/USD,0.9869,0.9982,0.9869,0.9982,39.81,39.738342
1733389200,2024-12-05 09:00:00,PYUSD/USD,0.8767,0.8767,0.8767,0.8767,0.00,0.0
1733385600,2024-12-05 08:00:00,PYUSD/USD,0.8767,0.8767,0.8767,0.8767,0.00,0.0
1733382000,2024-12-05 07:00:00,PYUSD/USD,0.8767,0.8767,0.8767,0.8767,0.00,0.0
1733378400,2024-12-05 06:00:00,PYUSD/USD,0.8767,0.8767,0.8767,0.8767,0.00,0.0
1733374800,2024-12-05 05:00:00,PYUSD/USD,0.8767,0.8767,0.8767,0.8767,0.00,0.0
1733371200,2024-12-05 04:00:00,PYUSD/USD,0.8767,0.8767,0.8767,0.8767,0.00,0.0
1733367600,2024-12-05 03:00:00,PYUSD/USD,0.8767,0.8767,0.8767,0.8767,0.00,0.0
1733364000,2024-12-05 02:00:00,PYUSD/USD,0.8767,0.8767,0.8767,0.8767,0.00,0.0
1733360400,2024-12-05 01:00:00,PYUSD/USD,0.8767,0.8767,0.8767,0.8767,0.00,0.0
1733356800,2024-12-05 00:00:00,PYUSD/USD,0.8767,0.8767,0.8767,0.8767,0.00,0.0
1733353200,2024-12-04 23:00:00,PYUSD/USD,0.8767,0.8767,0.8767,0.8767,0.00,0.0
1733349600,2024-12-04 22:00:00,PYUSD/USD,0.8767,0.8767,0.8767,0.8767,0.00,0.0
1733346000,2024-12-04 21:00:00,PYUSD/USD,0.8767,0.8767,0.8767,0.8767,0.00,0.0
1733342400,2024-12-04 20:00:00,PYUSD/USD,0.8767,0.8767,0.8767,0.8767,9.30,8.153310000000001
1733338800,2024-12-04 19:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733335200,2024-12-04 18:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733331600,2024-12-04 17:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733328000,2024-12-04 16:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733324400,2024-12-04 15:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733320800,2024-12-04 14:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733317200,2024-12-04 13:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733313600,2024-12-04 12:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733310000,2024-12-04 11:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733306400,2024-12-04 10:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733302800,2024-12-04 09:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733299200,2024-12-04 08:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733295600,2024-12-04 07:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733292000,2024-12-04 06:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733288400,2024-12-04 05:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733284800,2024-12-04 04:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733281200,2024-12-04 03:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733277600,2024-12-04 02:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733274000,2024-12-04 01:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733270400,2024-12-04 00:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733266800,2024-12-03 23:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733263200,2024-12-03 22:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733259600,2024-12-03 21:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733256000,2024-12-03 20:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733252400,2024-12-03 19:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733248800,2024-12-03 18:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733245200,2024-12-03 17:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733241600,2024-12-03 16:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733238000,2024-12-03 15:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733234400,2024-12-03 14:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733230800,2024-12-03 13:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,142.31,141.31383
1733227200,2024-12-03 12:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733223600,2024-12-03 11:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733220000,2024-12-03 10:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733216400,2024-12-03 09:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733212800,2024-12-03 08:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733209200,2024-12-03 07:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733205600,2024-12-03 06:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,158.66,157.54937999999999
1733202000,2024-12-03 05:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,20.34,20.19762
1733198400,2024-12-03 04:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733194800,2024-12-03 03:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733191200,2024-12-03 02:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,43.13,42.82809
1733187600,2024-12-03 01:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733184000,2024-12-03 00:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733180400,2024-12-02 23:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733176800,2024-12-02 22:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733173200,2024-12-02 21:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733169600,2024-12-02 20:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,39.62,39.342659999999995
1733166000,2024-12-02 19:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,0.00,0.0
1733162400,2024-12-02 18:00:00,PYUSD/USD,0.9930,0.9930,0.9930,0.9930,47.50,47.1675
1733158800,2024-12-02 17:00:00,PYUSD/USD,0.9900,0.9900,0.9900,0.9900,0.00,0.0
1733155200,2024-12-02 16:00:00,PYUSD/USD,0.9900,0.9900,0.9900,0.9900,0.00,0.0
1733151600,2024-12-02 15:00:00,PYUSD/USD,0.9900,0.9900,0.9900,0.9900,0.00,0.0
1733148000,2024-12-02 14:00:00,PYUSD/USD,0.9900,0.9900,0.9900,0.9900,0.00,0.0
